part,source,target_x_mm,target_y_mm,target_z_mm,measured_x_mm,measured_y_mm,measured_z_mm,evidence_path,result,notes
deck_pods,printed,128.00,357.50,84.10,,,,,not_tested,
plate_support_frame,printed,147.60,377.25,11.20,,,,,not_tested,
ir_thermopile_face_gaskets,compressible_or_flexible,8.00,279.50,0.45,,,,,not_tested,
lower_harness_cover,printed,10.40,326.38,0.70,,,,,not_tested,
printed_lower_sensor_connector_shroud,printed,12.40,9.40,4.80,,,,,not_tested,
lower_gasket,compressible_or_flexible,147.60,377.25,0.80,,,,,not_tested,
wet_chamber_frame,printed,147.60,377.25,32.10,,,,,not_tested,
upper_gasket,compressible_or_flexible,147.60,377.25,0.80,,,,,not_tested,
lid_manifold_shell,printed,147.60,377.25,8.60,,,,,not_tested,
lid_harness_cover,printed,147.00,326.38,8.30,,,,,not_tested,
printed_lid_sensor_connector_shrouds,printed,147.20,9.40,4.80,,,,,not_tested,
lid_cover,printed,162.80,377.25,26.00,,,,,not_tested,
gas_pcb_interface_gaskets,compressible_or_flexible,128.20,269.25,2.80,,,,,not_tested,
printed_gas_pcb_keeper_doors,printed,141.00,289.65,0.80,,,,,not_tested,
printed_sample_relief_cap,printed,16.80,12.00,4.60,,,,,not_tested,
printed_wedge_locks,printed,147.60,377.25,3.00,,,,,not_tested,
