target,cad_value,physical_check,measured_value,evidence_path,result,notes
Installed consumable set,4 plates / 4 septum mats,real CellVis plates and Cole-Parmer mats required for pass,,,not_tested,
Consumable metrology gauge,143.60 x 101.75 x 3.00 mm,required gauge checks plate/mat lot fit before puncture claims,,,not_tested,
Plate CAD footprint,127.60 x 85.75 x 14.30 mm,measure real plate lot; revise only if fit check fails,,,not_tested,
Plate support datum,z=10.00 mm,plate underside support contacts avoid optical bottom,,,not_tested,
Locator rail count/height,16 rails / 1.20 mm,rails constrain lateral shift without pinching plate,,,not_tested,
Mat CAD thickness stack,4.50 mm,sheet plus plug depth placeholder; replace with measured mat data,,,not_tested,
Mat plug CAD diameter/depth,6.00 mm / 3.50 mm,"plug fits wells without bottoming, bunching, or lifting plate",,,not_tested,
Mat slit CAD relief,2.00 x 0.35 mm,tip admits through slit without tearing or persistent opening,,,not_tested,
Puncture target count,384 wells,required swept-path validation body covers all 96 positions per plate,,,not_tested,
Puncture swept diameter,2.50 mm,tip plus radial clearance through septum target,,,not_tested,
Puncture Z range,22.80..64.10 mm,2.50 mm below mat top,,,not_tested,
Puncture force limit,8.00 N,revise if intended tip/mat combination exceeds this force,,,not_tested,
Repeat puncture minimum,20 cycles,same representative well reseals without unacceptable wear,,,not_tested,
Plate lateral shift limit,<=0.25 mm,compare plate/mat datum positions before and after puncture,,,not_tested,
