mode,mode_type,review_scope,acceptance_gate,part,x_min_mm,x_max_mm,x_len_mm,y_min_mm,y_max_mm,y_len_mm,z_min_mm,z_max_mm,z_len_mm,expected_removed_parts_absent,expected_review_parts_present,result,notes
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,cots_gas_service_tubes,-36.00,183.60,219.60,57.50,319.75,262.25,44.10,49.10,5.00,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,cots_microplates,10.00,137.60,127.60,10.00,367.25,357.25,22.00,36.30,14.30,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,cots_septum_mats,10.00,137.60,127.60,10.00,367.25,357.25,32.80,37.30,4.50,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,deck_module_unseated_review,9.80,137.80,128.00,9.88,367.38,357.50,-80.00,-79.40,0.60,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,deck_pods,9.80,137.80,128.00,9.88,367.38,357.50,-70.50,13.60,84.10,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,gas_pcb_interface_gaskets,12.50,140.70,128.20,54.00,323.25,269.25,45.20,48.00,2.80,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,gas_sensor_pcbs,7.50,140.57,133.07,45.00,332.25,287.25,45.00,70.10,25.10,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,headspace_sht41_microcarriers,134.60,146.60,12.00,46.88,330.38,283.50,37.50,41.50,4.00,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,ir_thermopile_face_gaskets,10.40,18.40,8.00,48.88,328.38,279.50,16.05,16.50,0.45,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,ir_thermopiles,10.40,18.40,8.00,48.88,328.38,279.50,12.00,16.85,4.85,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_cover,-7.60,155.20,162.80,0.00,377.25,377.25,44.10,70.10,26.00,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_harness_cover,0.50,147.50,147.00,49.38,375.75,326.38,37.95,46.25,8.30,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_manifold_shell,-0.00,147.60,147.60,-0.00,377.25,377.25,36.50,45.10,8.60,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_sensor_harness,1.00,147.00,146.00,49.88,375.25,325.38,37.50,45.55,8.05,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_sensor_service_cable_pigtails,4.80,142.80,138.00,375.25,405.25,30.00,46.10,47.30,1.20,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
deck_module_unseated,negative_review,unseated OT-2 deck module seating review,Gate 3 OT-2 placement fail-closed inspection,lid_sensor_service_connectors,1.00,146.60,145.60,366.65,375.25,8.60,45.10,50.20,5.10,not_applicable,true,pass,plain-Python CadQuery bounds; physical gates unchanged
