mode,mode_type,review_scope,acceptance_gate,part,x_min_mm,x_max_mm,x_len_mm,y_min_mm,y_max_mm,y_len_mm,z_min_mm,z_max_mm,z_len_mm,expected_removed_parts_absent,expected_review_parts_present,result,notes
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,cots_gas_service_tubes,-36.00,183.60,219.60,193.50,455.75,262.25,252.10,257.10,5.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,cots_microplates,10.00,137.60,127.60,-30.00,327.25,357.25,120.00,134.30,14.30,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,cots_septum_mats,10.00,137.60,127.60,-14.00,343.25,357.25,140.80,145.30,4.50,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,deck_pods,9.80,137.80,128.00,-206.12,151.38,357.50,-82.50,1.60,84.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,gas_pcb_interface_gaskets,12.50,140.70,128.20,206.00,475.25,269.25,263.20,266.00,2.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,gas_sensor_pcbs,7.50,140.57,133.07,229.00,516.25,287.25,283.00,308.10,25.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,headspace_sht41_microcarriers,134.60,146.60,12.00,70.88,354.38,283.50,175.50,179.50,4.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,ir_thermopile_face_gaskets,10.40,18.40,8.00,-119.12,160.38,279.50,34.05,34.50,0.45,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,ir_thermopiles,10.40,18.40,8.00,-135.12,144.38,279.50,20.00,24.85,4.85,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_cover,-7.60,155.20,162.80,120.00,497.25,377.25,242.10,268.10,26.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_harness_cover,0.50,147.50,147.00,105.38,431.75,326.38,195.95,204.25,8.30,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_manifold_shell,-0.00,147.60,147.60,8.00,385.25,377.25,164.50,173.10,8.60,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_sensor_harness,1.00,147.00,146.00,89.88,415.25,325.38,185.50,193.55,8.05,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_sensor_service_cable_pigtails,4.80,142.80,138.00,479.25,509.25,30.00,234.10,235.30,1.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lid_sensor_service_connectors,1.00,146.60,145.60,438.65,447.25,8.60,213.10,218.20,5.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lower_gasket,0.00,147.60,147.60,-72.00,305.25,377.25,98.00,98.80,0.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lower_harness_cover,0.50,10.90,10.40,-86.62,239.75,326.38,49.30,50.00,0.70,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lower_sensor_harness,1.00,10.40,9.40,-102.12,223.25,325.38,40.00,40.45,0.45,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lower_sensor_service_cable_pigtail,4.80,8.00,3.20,287.25,317.25,30.00,75.90,77.10,1.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,lower_sensor_service_connector,1.00,11.80,10.80,246.65,255.25,8.60,54.90,60.00,5.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,plate_support_frame,-0.00,147.60,147.60,-200.00,177.25,377.25,10.00,21.20,11.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,printed_gas_pcb_keeper_doors,3.30,144.30,141.00,211.80,501.45,289.65,297.30,298.10,0.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,printed_lid_sensor_connector_shrouds,0.20,147.40,147.20,453.85,463.25,9.40,223.10,227.90,4.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
exploded,service,spaced service review of the full assembly tree,preflight digital service-state review,printed_lower_sensor_connector_shroud,0.20,12.60,12.40,261.85,271.25,9.40,64.90,69.70,4.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
