mode,mode_type,review_scope,acceptance_gate,part,x_min_mm,x_max_mm,x_len_mm,y_min_mm,y_max_mm,y_len_mm,z_min_mm,z_max_mm,z_len_mm,expected_removed_parts_absent,expected_review_parts_present,result,notes
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,cots_gas_service_tubes,-36.00,183.60,219.60,57.50,319.75,262.25,32.10,37.10,5.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,cots_microplates,10.00,137.60,127.60,10.00,367.25,357.25,10.00,24.30,14.30,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,cots_septum_mats,10.00,137.60,127.60,10.00,367.25,357.25,20.80,25.30,4.50,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,deck_pods,9.80,137.80,128.00,9.88,367.38,357.50,-82.50,1.60,84.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,gas_pcb_interface_gaskets,12.50,140.70,128.20,54.00,323.25,269.25,33.20,36.00,2.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,gas_sensor_pcbs,7.50,140.57,133.07,45.00,332.25,287.25,33.00,58.10,25.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,headspace_sht41_microcarriers,134.60,146.60,12.00,46.88,330.38,283.50,25.50,29.50,4.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,ir_thermopile_face_gaskets,10.40,18.40,8.00,48.88,328.38,279.50,4.05,4.50,0.45,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,ir_thermopiles,10.40,18.40,8.00,48.88,328.38,279.50,0.00,4.85,4.85,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_cover,-7.60,155.20,162.80,0.00,377.25,377.25,32.10,58.10,26.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_harness_cover,0.50,147.50,147.00,49.38,375.75,326.38,25.95,34.25,8.30,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_manifold_shell,-0.00,147.60,147.60,-0.00,377.25,377.25,24.50,33.10,8.60,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_sensor_harness,1.00,147.00,146.00,49.88,375.25,325.38,25.50,33.55,8.05,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_sensor_service_cable_pigtails,4.80,142.80,138.00,375.25,405.25,30.00,34.10,35.30,1.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lid_sensor_service_connectors,1.00,146.60,145.60,366.65,375.25,8.60,33.10,38.20,5.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lower_gasket,0.00,147.60,147.60,0.00,377.25,377.25,8.00,8.80,0.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lower_harness_cover,0.50,10.90,10.40,49.38,375.75,326.38,-0.70,0.00,0.70,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lower_sensor_harness,1.00,10.40,9.40,49.88,375.25,325.38,0.00,0.45,0.45,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lower_sensor_service_cable_pigtail,4.80,8.00,3.20,375.25,405.25,30.00,-4.10,-2.90,1.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,lower_sensor_service_connector,1.00,11.80,10.80,366.65,375.25,8.60,-5.10,0.00,5.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,plate_support_frame,-0.00,147.60,147.60,-0.00,377.25,377.25,0.00,11.20,11.20,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,printed_gas_pcb_keeper_doors,3.30,144.30,141.00,43.80,333.45,289.65,57.30,58.10,0.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,printed_lid_sensor_connector_shrouds,0.20,147.40,147.20,365.85,375.25,9.40,33.10,37.90,4.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,printed_lower_sensor_connector_shroud,0.20,12.60,12.40,365.85,375.25,9.40,-5.10,-0.30,4.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,printed_sample_relief_cap,126.80,143.60,16.80,182.62,194.62,12.00,35.90,40.50,4.60,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,printed_wedge_locks,0.00,147.60,147.60,0.00,377.25,377.25,36.10,39.10,3.00,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,upper_gasket,0.00,147.60,147.60,0.00,377.25,377.25,24.30,25.10,0.80,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
installed,installed,normal OT-2 operating assembly,preflight digital service-state review,wet_chamber_frame,-0.00,147.60,147.60,-0.00,377.25,377.25,8.00,40.10,32.10,not_applicable,not_applicable,pass,plain-Python CadQuery bounds; physical gates unchanged
