part,queued_stl_path,queued_stl_sha256,sliced_output_path,sliced_output_sha256,selected_setup_summary,result,notes
deck_pods,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_deck_pods.stl,1a0361fb0f06e8d61bb3914adc674a02220bce6c6b6c2dcb9e09c070b6f90be2,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
plate_support_frame,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_plate_support_frame.stl,d823f5f59a687985d6768db84fdd89d127896c63fe6e56f30ae2aab973acdde7,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
lower_harness_cover,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_lower_harness_cover.stl,92a624d2e276fd069caad4d19efcdcba078a006dd966c89a98b2901838523a5d,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
printed_lower_sensor_connector_shroud,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_printed_lower_sensor_connector_shroud.stl,6c7cd940876726cf812621049e464686057433749d6bb479dfdcbb6668e9a846,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
wet_chamber_frame,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_wet_chamber_frame.stl,fe55059b757bcea350293b7291d751fd710c514974af0248b813de06404f494c,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
lid_manifold_shell,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_lid_manifold_shell.stl,9bf75025e3c9c970352feb819f96c3f0c932dd330f39939c630ae9eaf98929fa,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
lid_harness_cover,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_lid_harness_cover.stl,81c8ca832778e24dce8762e1a198b5d524af021e8ab216ef21fdf4c31d05665c,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
printed_lid_sensor_connector_shrouds,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_printed_lid_sensor_connector_shrouds.stl,c8961d658bf8b01249cf54075c06dac2eb25713b13fcd169d528152d5a3845e7,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
lid_cover,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_lid_cover.stl,b20104cdf356583be557ccd03c8b892c1b346ac05e97da79eb244684114077ac,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
printed_gas_pcb_keeper_doors,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_printed_gas_pcb_keeper_doors.stl,195efba27e0d056171bf9532c20dc14ac0e354164bd9ed0a6098055e66227e2b,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
printed_sample_relief_cap,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_printed_sample_relief_cap.stl,995959a23fb73c187c6909cacad136a6ae98d86e315afb6aaf5bd2c0868164a9,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
printed_wedge_locks,/Users/noot/Documents/aevum/outputs/cad/first_print_slicer_queue/aevum_one_row_coupon_printed_wedge_locks.stl,c4cb9613538456c4d7825c712cfb8a9827daf0afc265ede1c22301cd3fc3f3f9,,,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,not_tested,
