part,source,target_x_mm,target_y_mm,target_z_mm,measured_x_mm,measured_y_mm,measured_z_mm,evidence_path,result,notes
deck_pods_y01_of_02,printed_split,128.00,176.50,84.10,,,,,not_tested,
deck_pods_y02_of_02,printed_split,128.00,176.50,84.10,,,,,not_tested,
plate_support_frame_y01_of_02,printed_split,147.60,188.62,11.20,,,,,not_tested,
plate_support_frame_y02_of_02,printed_split,147.60,188.62,11.20,,,,,not_tested,
lower_harness_cover_y01_of_02,printed_split,10.40,139.25,0.70,,,,,not_tested,
lower_harness_cover_y02_of_02,printed_split,10.40,187.12,0.70,,,,,not_tested,
printed_lower_sensor_connector_shroud,printed,12.40,9.40,4.80,,,,,not_tested,
wet_chamber_frame_y01_of_02,printed_split,147.60,188.62,32.10,,,,,not_tested,
wet_chamber_frame_y02_of_02,printed_split,147.60,188.62,32.10,,,,,not_tested,
lid_manifold_shell_y01_of_02,printed_split,147.60,188.62,8.60,,,,,not_tested,
lid_manifold_shell_y02_of_02,printed_split,147.60,188.62,8.60,,,,,not_tested,
lid_harness_cover_y01_of_02,printed_split,147.00,139.25,8.30,,,,,not_tested,
lid_harness_cover_y02_of_02,printed_split,147.00,187.12,8.30,,,,,not_tested,
printed_lid_sensor_connector_shrouds,printed,147.20,9.40,4.80,,,,,not_tested,
lid_cover_y01_of_02,printed_split,155.20,188.62,26.00,,,,,not_tested,
lid_cover_y02_of_02,printed_split,155.20,188.62,26.00,,,,,not_tested,
printed_gas_pcb_keeper_doors_y01_of_02,printed_split,10.40,32.40,0.80,,,,,not_tested,
printed_gas_pcb_keeper_doors_y02_of_02,printed_split,10.40,32.40,0.80,,,,,not_tested,
printed_sample_relief_cap,printed,16.80,12.00,4.60,,,,,not_tested,
printed_wedge_locks_y01_of_02,printed_split,147.60,188.62,3.00,,,,,not_tested,
printed_wedge_locks_y02_of_02,printed_split,147.60,188.62,3.00,,,,,not_tested,
