part,queued_stl_path,queued_stl_sha256,sliced_output_path,sliced_output_sha256,selected_setup_summary,result,notes
deck_pods_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_deck_pods_y01_of_02.stl,fb0b746882ce88583b1e49c0e18ee7b24903b9c4d1fd929ec2fa2473fba82d9d,outputs/sliced/first_print_y_split/aevum_one_row_coupon_deck_pods_y01_of_02.gcode,4d4f7fbb5d0c89f75a433164746298dc4ffb1b5fe6c4ba708e87f796ac3d8fbb,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
deck_pods_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_deck_pods_y02_of_02.stl,5de12e2598b58ffa65f0d0f925842d9b1a8d0fbff18b3afd5fd3b320652ce32c,outputs/sliced/first_print_y_split/aevum_one_row_coupon_deck_pods_y02_of_02.gcode,c202808773440edbdcbc90e9a0f909722cb3b0c6167288f9276fbc25e0a71cee,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
plate_support_frame_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_plate_support_frame_y01_of_02.stl,2a080c72d1c46904556448908912b519291d0551be75bcb38d4ef78aab1d0d68,outputs/sliced/first_print_y_split/aevum_one_row_coupon_plate_support_frame_y01_of_02.gcode,69d494c9902046620960489f33a4bb5d516908e375a9e0bf89231c13b90c18e1,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
plate_support_frame_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_plate_support_frame_y02_of_02.stl,f481ca6fa9ff03b3faf1da32eb51474fd885c44381ff4478cfc134b022c0cdfa,outputs/sliced/first_print_y_split/aevum_one_row_coupon_plate_support_frame_y02_of_02.gcode,fcf334aa54049883abd25b769a43a5aa88ba02223739649d84f79cb6d077049b,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lower_harness_cover_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lower_harness_cover_y01_of_02.stl,13b6520bda7db5b5f9982bd95caa322330352dd50d17fdb0dd00763586b8a963,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lower_harness_cover_y01_of_02.gcode,6a5df93eea47f991b28c25821b750397f071764244e56d8c098bb57204d5ea17,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lower_harness_cover_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lower_harness_cover_y02_of_02.stl,0d66975e91da4d2cdfa293557917deb1c380acab3064210f225109f430a2d04f,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lower_harness_cover_y02_of_02.gcode,fc76312145d167607cca6bf6cf64601dd0cba2d87bd7d92517d605b61ff6a6fe,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
printed_lower_sensor_connector_shroud,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_printed_lower_sensor_connector_shroud.stl,6c7cd940876726cf812621049e464686057433749d6bb479dfdcbb6668e9a846,outputs/sliced/first_print_y_split/aevum_one_row_coupon_printed_lower_sensor_connector_shroud.gcode,a9f65fd05ee05288c815f9c527ba5270368f774f8d6dab3f9410259e72790916,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
wet_chamber_frame_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_wet_chamber_frame_y01_of_02.stl,f2ac19ecadc5b31cc751400b1bc6135f4f524464bf57e172987b87ecb8d12bc2,outputs/sliced/first_print_y_split/aevum_one_row_coupon_wet_chamber_frame_y01_of_02.gcode,93d7818da356d3da592afa45a719f9c2f98c87553e2f5050b8d489844a348352,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
wet_chamber_frame_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_wet_chamber_frame_y02_of_02.stl,10c82c43637dc7f5372a63f6cb3ab9b615aad6f9ed993feeb0e244d38d0646cf,outputs/sliced/first_print_y_split/aevum_one_row_coupon_wet_chamber_frame_y02_of_02.gcode,9dd2b5d8553bed00bc53f68128a0ec2b0e682c3406e93139866dca0e75f1cfa9,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_manifold_shell_y01_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_manifold_shell_y01_of_02.stl,b82a52ef1f01a17268f12d4a6810270780743ec24502514d9f6a5ed415507bd9,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_manifold_shell_y01_of_02.gcode,89f74b05d9aab3fcfe31dfdb579900e2716f3dfbb35f0b3532df3cae5b9549f0,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
lid_manifold_shell_y02_of_02,/Users/noot/Documents/aevum/outputs/cad/first_print_y_split_slicer_queue/aevum_one_row_coupon_lid_manifold_shell_y02_of_02.stl,0a87b1ad26a443d730c9226fa79d43b8269afdf1dc3da82a4128bca710f56645,outputs/sliced/first_print_y_split/aevum_one_row_coupon_lid_manifold_shell_y02_of_02.gcode,8f2a7fa9f2dcc9c76c2e4bce5fb6ed38ce3b47c46e85ed248f9f0df25daf6ee5,PrusaSlicer / Original Prusa MK4 Input Shaper 0.4 nozzle / Generic PETG @PGIS / 0.20mm STRUCTURAL @MK4IS 0.4,pass,sliced with PrusaSlicer
